species	genomes
acinetobacter_pittii	16
acinetobacter_sp	20
aeromonas_hydrophila	25
akkermansia_muciniphila	26
arthrobacter_sp	18
bacillus_amyloliquefaciens	35
bacillus_anthracis	59
bacillus_cereus	59
bacillus_licheniformis	28
bacillus_sp	54
bacillus_velezensis	116
bifidobacterium_longum	27
bordetella_holmesii	63
bradyrhizobium_sp	16
brucella_suis	16
buchnera_aphidicola	29
burkholderia_cenocepacia	18
burkholderia_sp	22
burkholderia_thailandensis	22
campylobacter_coli	31
campylobacter_jejuni	166
candidatus_sulcia	25
chlamydia_muridarum	20
chlamydia_psittaci	22
chlamydia_trachomatis	83
chryseobacterium_sp	16
dehalococcoides_mccartyi	24
elizabethkingia_anophelis	21
enterobacter_hormaechei	60
enterococcus_faecalis	41
enterococcus_faecium	87
francisella_noatunensis	23
haemophilus_influenzae	56
helicobacter_pylori	157
histophilus_somni	21
klebsiella_quasipneumoniae	22
klebsiella_variicola	20
lactobacillus_rhamnosus	20
lactococcus_lactis	38
leptospira_interrogans	16
leuconostoc_mesenteroides	19
mannheimia_haemolytica	83
microbacterium_sp	16
mycobacteroides_abscessus	34
paenibacillus_sp	25
pasteurella_multocida	61
phaeobacter_inhibens	22
piscirickettsia_salmonis	78
planctomycetes_bacterium	26
porphyromonas_gingivalis	21
pseudomonas_chlororaphis	44
pseudomonas_sp	100
rhizobium_sp	24
rhodococcus_sp	24
serratia_sp	17
sphingomonas_sp	19
staphylococcus_aureus	464
staphylococcus_epidermidis	20
stenotrophomonas_maltophilia	37
streptococcus_agalactiae	81
streptococcus_mutans	16
streptococcus_pneumoniae	53
streptococcus_pyogenes	140
streptococcus_sp	18
streptococcus_suis	42
streptococcus_thermophilus	28
streptomyces_sp	76
synechococcus_sp	25
vibrio_alginolyticus	26
vibrio_cholerae	58
vibrio_parahaemolyticus	54
vibrio_vulnificus	19
wolbachia_endosymbiont	17
yersinia_pestis	31
yersinia_pseudotuberculosis	21
